filename,width,height,class,xmin,ymin,xmax,ymax
IMG_20181228_101826.jpg,800,600,Arduino_Nano,317,265,556,342
IMG_20181228_101855.jpg,800,600,Heltec_ESP32_Lora,398,243,592,382
IMG_20181228_101903.jpg,800,600,ESP8266,290,239,514,387
IMG_20181228_101915.jpg,800,600,Raspberry_Pi_3,194,200,669,531
IMG_20181228_102013.jpg,800,600,Arduino_Nano,383,336,591,444
IMG_20181228_102020.jpg,800,600,ESP8266,332,259,538,357
IMG_20181228_102033.jpg,800,600,ESP8266,240,307,419,411
IMG_20181228_102041.jpg,800,600,Raspberry_Pi_3,324,151,574,391
IMG_20181228_102048.jpg,800,600,Heltec_ESP32_Lora,457,198,553,287
IMG_20181228_102155.jpg,800,600,ESP8266,383,226,511,330
IMG_20181228_102201.jpg,800,600,Raspberry_Pi_3,193,190,632,463
IMG_20181228_102206.jpg,800,600,Arduino_Nano,333,277,446,377
IMG_20181228_102210.jpg,800,600,Heltec_ESP32_Lora,369,297,516,384
IMG_20181228_102308.jpg,800,600,Raspberry_Pi_3,332,274,509,401
IMG_20181228_102313.jpg,800,600,ESP8266,398,276,554,392
IMG_20181228_102317.jpg,800,600,Heltec_ESP32_Lora,389,271,543,398
IMG_20181228_102319.jpg,800,600,Arduino_Nano,364,255,477,337
IMG_20181228_102420.jpg,800,600,Heltec_ESP32_Lora,293,325,389,456
IMG_20181228_102425.jpg,800,600,Raspberry_Pi_3,381,196,588,334
IMG_20181228_102434.jpg,800,600,Arduino_Nano,551,228,643,323
IMG_20181228_102506.jpg,800,600,Arduino_Nano,492,207,578,325
IMG_20181228_102511.jpg,800,600,Raspberry_Pi_3,394,175,600,413
IMG_20181228_102516.jpg,800,600,Heltec_ESP32_Lora,439,222,593,325
IMG_20181228_102520.jpg,800,600,ESP8266,414,261,555,352
IMG_20181228_102544.jpg,800,600,Arduino_Nano,425,266,556,352
IMG_20181228_102547.jpg,800,600,Raspberry_Pi_3,257,188,512,293
IMG_20181228_102552.jpg,800,600,Heltec_ESP32_Lora,390,203,504,300
IMG_20181228_102557.jpg,800,600,ESP8266,278,206,388,301
IMG_20181228_102801.jpg,800,600,Raspberry_Pi_3,89,97,721,538
IMG_20181228_103007.jpg,800,600,ESP8266,280,191,675,382
IMG_20181228_103009.jpg,800,600,Heltec_ESP32_Lora,203,210,561,401
IMG_20181228_103012.jpg,800,600,Raspberry_Pi_3,63,140,695,426
IMG_20181228_103014.jpg,800,600,Arduino_Nano,254,229,483,395
IMG_20181228_103110.jpg,800,600,Raspberry_Pi_3,328,46,651,363
IMG_20181228_103113.jpg,800,600,Heltec_ESP32_Lora,337,217,524,330
IMG_20181228_103117.jpg,800,600,ESP8266,370,156,571,300
IMG_20181228_103121.jpg,800,600,Arduino_Nano,378,268,548,393
IMG_20181228_103227.jpg,800,600,Raspberry_Pi_3,267,150,612,372
IMG_20181228_103229.jpg,800,600,ESP8266,316,222,576,368
IMG_20181228_103231.jpg,800,600,Arduino_Nano,299,189,587,365
IMG_20181228_103234.jpg,800,600,Heltec_ESP32_Lora,239,227,560,455
IMG_20181228_103324.jpg,800,600,Arduino_Nano,314,205,596,329
IMG_20181228_103326.jpg,800,600,Heltec_ESP32_Lora,240,130,590,329
IMG_20181228_103329.jpg,800,600,ESP8266,373,247,680,426
IMG_20181228_103331.jpg,800,600,Raspberry_Pi_3,231,123,619,398
IMG_20181228_103424.jpg,800,600,Heltec_ESP32_Lora,298,121,632,386
IMG_20181228_103427.jpg,800,600,ESP8266,375,240,698,499
IMG_20181228_103429.jpg,800,600,Arduino_Nano,322,193,606,363
IMG_20181228_103434.jpg,800,600,Raspberry_Pi_3,92,39,595,571
IMG_20181228_103611.jpg,800,600,Heltec_ESP32_Lora,269,186,474,293
IMG_20181228_103622.jpg,800,600,Raspberry_Pi_3,110,66,473,543
IMG_20181228_103629.jpg,800,600,ESP8266,271,351,405,419
IMG_20181228_103634.jpg,800,600,Arduino_Nano,393,342,509,411
IMG_20181228_103805.jpg,800,600,Heltec_ESP32_Lora,274,196,517,366
IMG_20181228_103813.jpg,800,600,Arduino_Nano,159,209,496,444
IMG_20181228_103828.jpg,800,600,Raspberry_Pi_3,100,129,590,511
IMG_20181228_103835.jpg,800,600,ESP8266,216,162,513,471
IMG_20181228_104001.jpg,800,600,Raspberry_Pi_3,186,121,549,366
IMG_20181228_104004.jpg,800,600,ESP8266,308,160,553,378
IMG_20181228_104024.jpg,800,600,Arduino_Nano,320,221,551,328
IMG_20181228_104027.jpg,800,600,Heltec_ESP32_Lora,315,221,560,400
IMG_20181228_104139.jpg,800,600,Raspberry_Pi_3,1,45,773,579
IMG_20181228_104144.jpg,800,600,ESP8266,138,148,490,456
IMG_20181228_104153.jpg,800,600,Heltec_ESP32_Lora,351,321,686,485
IMG_20181228_104213.jpg,800,600,Arduino_Nano,363,147,485,297
IMG_20181228_104228.jpg,800,600,Arduino_Nano,358,176,659,304
IMG_20181228_104228.jpg,800,600,Heltec_ESP32_Lora,343,349,687,474
IMG_20181228_104234.jpg,800,600,Arduino_Nano,123,241,375,326
IMG_20181228_104234.jpg,800,600,Heltec_ESP32_Lora,243,340,508,480
IMG_20181228_104234.jpg,800,600,ESP8266,433,202,698,352
IMG_20181228_104241.jpg,800,600,ESP8266,403,119,719,307
IMG_20181228_104241.jpg,800,600,Raspberry_Pi_3,102,290,609,595
IMG_20181228_104248.jpg,800,600,Heltec_ESP32_Lora,75,289,302,445
IMG_20181228_104248.jpg,800,600,Raspberry_Pi_3,340,179,628,443
IMG_20181228_104256.jpg,800,600,Arduino_Nano,158,224,418,321
IMG_20181228_104256.jpg,800,600,ESP8266,488,266,702,434
IMG_20181228_104303.jpg,800,600,Arduino_Nano,175,301,351,459
IMG_20181228_104303.jpg,800,600,Raspberry_Pi_3,383,213,770,540
IMG_20181228_104309.jpg,800,600,Heltec_ESP32_Lora,287,304,459,399
IMG_20181228_104309.jpg,800,600,ESP8266,384,390,541,493
IMG_20181228_104317.jpg,800,600,ESP8266,317,225,477,374
